Season,T1TeamID,T1Score,T2TeamID,T2Score,Result,T1Seed,T2Seed,SeedDiff
1986,1261,83,1272,81,1,11,3,8
1986,1277,80,1207,68,1,5,4,1
1986,1314,77,1412,59,1,3,6,-3
1986,1104,58,1228,56,1,5,4,1
1986,1120,81,1385,65,1,8,1,7
1986,1156,75,1386,69,1,14,6,8
1986,1235,72,1276,69,1,7,2,5
1986,1246,71,1443,64,1,1,8,-7
1986,1298,97,1393,85,1,7,2,5
1986,1301,80,1114,66,1,6,14,-8
1986,1424,70,1268,64,1,4,5,-1
1986,1120,70,1424,63,1,8,4,4
1986,1246,68,1104,63,1,1,5,-4
1986,1257,94,1314,79,1,2,3,-1
1986,1261,70,1210,64,1,11,2,9
1986,1181,74,1177,67,1,1,12,-11
1986,1242,96,1277,86,1,1,5,-4
1986,1298,71,1156,70,1,7,14,-7
1986,1301,70,1235,66,1,6,7,-1
1986,1257,84,1120,76,1,2,8,-6
1986,1261,59,1246,57,1,11,1,10
1986,1181,71,1298,50,1,1,7,-6
1986,1242,75,1301,67,1,1,6,-5
1986,1181,71,1242,67,1,1,1,0
1986,1257,88,1261,77,1,2,11,-9
1986,1257,72,1181,69,1,2,1,1
1987,1104,88,1299,71,1,2,15,-13
1987,1120,62,1360,61,1,8,9,-1
1987,1122,68,1228,67,1,14,3,11
1987,1181,58,1401,51,1,5,12,-7
1987,1231,92,1193,58,1,1,16,-15
1987,1243,82,1208,79,1,9,8,1
1987,1276,97,1298,82,1,9,8,1
1987,1309,83,1140,79,1,7,10,-3
1987,1314,113,1335,82,1,1,16,-15
1987,1323,84,1292,71,1,5,12,-7
1987,1344,90,1412,68,1,6,11,-5
1987,1395,76,1267,60,1,4,13,-9
1987,1417,92,1141,73,1,4,13,-9
1987,1424,95,1226,70,1,1,16,-15
1987,1461,64,1438,60,1,12,5,7
1987,1462,70,1281,69,1,13,4,9
1987,1177,76,1256,62,1,3,14,-11
1987,1196,82,1301,70,1,6,11,-5
1987,1207,75,1137,53,1,1,16,-15
1987,1234,99,1365,76,1,2,15,-13
1987,1242,66,1222,55,1,5,12,-7
1987,1261,85,1210,79,1,10,7,3
1987,1283,65,1155,60,1,13,4,9
1987,1326,91,1246,77,1,9,8,1
1987,1328,74,1409,69,1,6,11,-5
1987,1338,93,1265,68,1,3,14,-11
1987,1345,104,1318,95,1,3,14,-11
1987,1385,57,1455,55,1,6,11,-5
1987,1393,79,1204,73,1,2,15,-13
1987,1396,75,1380,56,1,2,15,-13
1987,1431,98,1112,91,1,7,10,-3
1987,1443,64,1452,62,1,10,7,3
1987,1104,101,1309,76,1,2,7,-5
1987,1181,65,1462,60,1,5,13,-8
1987,1231,107,1120,90,1,1,8,-7
1987,1314,109,1276,97,1,1,9,-8
1987,1323,58,1395,57,1,5,4,1
1987,1344,90,1122,87,1,6,14,-8
1987,1424,80,1243,61,1,1,9,-8
1987,1461,78,1417,68,1,12,4,8
1987,1177,83,1385,75,1,3,6,-3
1987,1196,85,1345,66,1,6,3,3
1987,1207,82,1326,79,1,1,9,-8
1987,1234,84,1431,82,1,2,7,-5
1987,1242,67,1283,63,1,5,13,-8
1987,1261,72,1396,62,1,10,2,8
1987,1328,96,1338,93,1,6,3,3
1987,1393,104,1443,86,1,2,10,-8
1987,1207,70,1242,57,1,1,5,-4
1987,1314,74,1323,68,1,1,5,-4
1987,1344,103,1104,82,1,6,2,4
1987,1393,87,1196,81,1,2,6,-4
1987,1231,88,1181,82,1,1,5,-4
1987,1234,93,1328,91,1,2,6,-4
1987,1261,63,1177,58,1,10,3,7
1987,1424,92,1461,78,1,1,12,-11
1987,1344,88,1207,73,1,6,1,5
1987,1393,79,1314,75,1,2,1,1
1987,1231,77,1261,76,1,1,10,-9
1987,1424,84,1234,81,1,1,2,-1
1987,1231,97,1424,93,1,1,1,0
1987,1393,77,1344,63,1,2,6,-4
1987,1231,74,1393,73,1,1,2,-1
1988,1120,90,1133,86,1,8,9,-1
1988,1140,98,1150,92,1,4,13,-9
1988,1177,83,1455,62,1,5,12,-7
1988,1181,85,1131,69,1,2,15,-13
1988,1196,62,1385,59,1,6,11,-5
1988,1243,66,1247,53,1,4,13,-9
1988,1257,70,1333,61,1,5,12,-7
1988,1258,119,1461,115,1,10,7,3
1988,1272,75,1124,60,1,9,8,1
1988,1276,63,1129,58,1,3,14,-11
1988,1314,83,1317,65,1,2,15,-13
1988,1328,94,1151,66,1,1,16,-15
1988,1345,94,1192,79,1,1,16,-15
1988,1348,87,1281,80,1,11,6,5
1988,1374,83,1323,75,1,7,10,-3
1988,1393,69,1299,55,1,3,14,-11
1988,1112,90,1165,50,1,1,16,-15
1988,1207,66,1261,63,1,8,9,-1
1988,1210,90,1235,78,1,5,12,-7
1988,1228,81,1427,72,1,3,14,-11
1988,1234,102,1199,98,1,5,12,-7
1988,1242,85,1462,72,1,6,11,-5
1988,1246,99,1380,84,1,2,15,-13
1988,1268,92,1364,82,1,7,10,-3
1988,1293,78,1301,75,1,14,3,11
1988,1338,108,1185,90,1,2,15,-13
1988,1350,72,1231,69,1,13,4,9
1988,1371,80,1431,64,1,8,9,-1
1988,1396,87,1250,73,1,1,16,-15
1988,1424,54,1283,50,1,4,13,-9
1988,1435,80,1429,77,1,7,10,-3
1988,1437,82,1116,74,1,6,11,-5
1988,1181,94,1374,79,1,2,7,-5
1988,1243,66,1177,58,1,4,5,-1
1988,1257,97,1140,76,1,5,4,1
1988,1276,108,1196,85,1,3,6,-3
1988,1314,123,1258,97,1,2,10,-8
1988,1328,107,1120,87,1,1,8,-7
1988,1345,100,1272,73,1,1,9,-8
1988,1348,97,1393,94,1,11,3,8
1988,1112,84,1371,55,1,1,8,-7
1988,1234,104,1424,86,1,5,4,1
1988,1242,61,1293,58,1,6,14,-8
1988,1246,90,1268,81,1,2,7,-5
1988,1350,59,1210,55,1,13,5,8
1988,1396,74,1207,53,1,1,8,-7
1988,1435,80,1338,74,1,7,2,5
1988,1437,66,1228,63,1,6,3,3
1988,1181,73,1348,72,1,2,11,-9
1988,1328,108,1257,98,1,1,5,-4
1988,1396,69,1350,47,1,1,13,-12
1988,1437,80,1246,74,1,6,2,4
1988,1112,99,1234,79,1,1,5,-4
1988,1242,77,1435,64,1,6,7,-1
1988,1243,73,1345,70,1,4,1,3
1988,1314,78,1276,69,1,2,3,-1
1988,1181,63,1396,53,1,2,1,1
1988,1328,78,1437,59,1,1,6,-5
1988,1112,70,1314,52,1,1,2,-1
1988,1242,71,1243,58,1,6,4,2
1988,1242,66,1181,59,1,6,2,4
1988,1328,86,1112,78,1,1,1,0
1988,1242,83,1328,79,1,6,1,5
1989,1112,94,1352,60,1,1,16,-15
1989,1116,120,1258,101,1,5,12,-7
1989,1123,68,1338,64,1,9,8,1
1989,1155,83,1388,70,1,9,8,1
1989,1177,66,1272,63,1,12,5,7
1989,1181,90,1354,69,1,2,15,-13
1989,1228,77,1270,71,1,1,16,-15
1989,1256,83,1247,74,1,9,8,1
1989,1257,76,1114,71,1,4,13,-9
1989,1278,86,1243,75,1,11,6,5
1989,1292,97,1199,83,1,13,4,9
1989,1328,72,1190,71,1,1,16,-15
1989,1373,80,1390,78,1,14,3,11
1989,1424,68,1225,56,1,4,13,-9
1989,1438,100,1344,97,1,5,12,-7
1989,1452,84,1397,68,1,7,10,-3
1989,1161,68,1196,46,1,10,7,3
1989,1191,94,1333,90,1,11,6,5
1989,1207,50,1343,49,1,1,16,-15
1989,1231,99,1206,85,1,2,15,-13
1989,1234,87,1353,73,1,4,13,-9
1989,1276,92,1462,87,1,3,14,-11
1989,1281,85,1166,69,1,3,14,-11
1989,1301,81,1376,66,1,5,12,-7
1989,1314,93,1380,79,1,2,15,-13
1989,1323,81,1435,65,1,9,8,1
1989,1371,60,1283,51,1,3,14,-11
1989,1375,86,1104,84,1,11,6,5
1989,1393,104,1137,81,1,2,15,-13
1989,1400,76,1210,70,1,11,6,5
1989,1417,84,1235,74,1,7,10,-3
1989,1431,85,1261,74,1,7,10,-3
1989,1112,94,1155,68,1,1,9,-8
1989,1181,70,1452,63,1,2,7,-5
1989,1228,72,1123,60,1,1,9,-8
1989,1257,93,1116,84,1,4,5,-1
1989,1278,80,1373,67,1,11,14,-3
1989,1328,124,1256,81,1,1,9,-8
1989,1424,85,1177,70,1,4,12,-8
1989,1438,104,1292,88,1,5,13,-8
1989,1207,81,1323,74,1,1,9,-8
1989,1231,92,1431,69,1,2,7,-5
1989,1276,91,1375,82,1,3,11,-8
1989,1281,108,1400,89,1,3,11,-8
1989,1301,102,1234,96,1,5,4,1
1989,1314,88,1417,81,1,2,7,-5
1989,1371,87,1191,73,1,3,11,-8
1989,1393,65,1161,50,1,2,10,-8
1989,1276,92,1314,87,1,3,2,1
1989,1371,78,1231,65,1,3,2,1
1989,1424,68,1112,67,1,4,1,3
1989,1438,86,1328,80,1,5,1,4
1989,1181,87,1278,70,1,2,11,-9
1989,1207,69,1301,61,1,1,5,-4
1989,1228,83,1257,69,1,1,4,-3
1989,1393,83,1281,80,1,2,3,-1
1989,1276,102,1438,65,1,3,5,-2
1989,1371,84,1424,61,1,3,4,-1
1989,1181,85,1207,77,1,2,1,1
1989,1228,89,1393,86,1,1,2,-1
1989,1276,83,1228,81,1,3,1,2
1989,1371,95,1181,78,1,3,2,1
1989,1276,80,1371,79,1,3,3,0
1990,1116,68,1343,64,1,4,13,-9
1990,1123,54,1333,53,1,12,5,7
1990,1143,65,1231,63,1,9,8,1
1990,1155,49,1140,47,1,5,12,-7
1990,1163,76,1131,52,1,1,16,-15
1990,1173,88,1228,86,1,12,5,7
1990,1210,99,1190,83,1,4,13,-9
1990,1247,79,1379,63,1,4,13,-9
1990,1257,78,1225,59,1,4,13,-9
1990,1261,70,1437,63,1,5,12,-7
1990,1277,75,1293,71,1,1,16,-15
1990,1314,83,1283,70,1,8,9,-1
1990,1326,84,1344,83,1,8,9,-1
1990,1328,77,1406,68,1,1,16,-15
1990,1364,70,1222,66,1,9,8,1
1990,1424,102,1114,72,1,1,16,-15
1990,1104,71,1161,54,1,7,10,-3
1990,1112,79,1378,67,1,2,15,-13
1990,1181,81,1350,46,1,3,14,-11
1990,1207,70,1411,52,1,3,14,-11
1990,1242,79,1352,71,1,2,15,-13
1990,1258,111,1308,92,1,11,6,5
1990,1276,76,1229,70,1,3,14,-11
1990,1278,64,1431,61,1,6,11,-5
1990,1320,74,1281,71,1,14,3,11
1990,1345,75,1419,63,1,2,15,-13
1990,1385,81,1396,65,1,6,11,-5
1990,1393,70,1164,48,1,2,15,-13
1990,1400,100,1208,88,1,10,7,3
1990,1417,68,1412,56,1,7,10,-3
1990,1438,75,1323,67,1,7,10,-3
1990,1462,87,1243,79,1,6,11,-5
1990,1116,86,1173,84,1,4,12,-8
1990,1123,62,1257,60,1,12,4,8
1990,1155,79,1247,75,1,5,4,1
1990,1163,74,1143,54,1,1,9,-8
1990,1210,94,1261,91,1,4,5,-1
1990,1277,62,1364,58,1,1,9,-8
1990,1314,79,1328,77,1,8,1,7
1990,1424,76,1326,65,1,1,8,-7
1990,1104,77,1112,55,1,7,2,5
1990,1181,76,1385,72,1,3,6,-3
1990,1258,149,1276,115,1,11,3,8
1990,1278,81,1320,78,1,6,14,-8
1990,1393,63,1438,61,1,2,7,-5
1990,1400,73,1345,72,1,10,2,8
1990,1417,71,1242,70,1,7,2,5
1990,1462,74,1207,71,1,6,3,3
1990,1116,96,1314,73,1,4,8,-4
1990,1163,71,1155,70,1,1,5,-4
1990,1181,90,1417,81,1,3,7,-4
1990,1400,102,1462,89,1,10,6,4
1990,1210,81,1277,80,1,4,1,3
1990,1258,62,1104,60,1,11,7,4
1990,1278,82,1393,75,1,6,2,4
1990,1424,69,1123,67,1,1,12,-11
1990,1116,88,1400,85,1,4,10,-6
1990,1181,79,1163,78,1,3,1,2
1990,1210,93,1278,91,1,4,6,-2
1990,1424,131,1258,101,1,1,11,-10
1990,1181,97,1116,83,1,3,4,-1
1990,1424,90,1210,81,1,1,4,-3
1990,1424,103,1181,73,1,1,3,-2
1991,1112,93,1384,80,1,2,15,-13
1991,1140,61,1438,48,1,10,7,3
1991,1163,79,1261,62,1,11,6,5
1991,1166,64,1308,56,1,11,6,5
1991,1181,102,1419,73,1,2,15,-13
1991,1199,75,1425,72,1,7,10,-3
1991,1231,79,1157,69,1,2,15,-13
1991,1234,76,1190,73,1,7,10,-3
1991,1242,55,1309,49,1,3,14,-11
1991,1301,114,1379,85,1,6,11,-5
1991,1329,67,1307,54,1,3,14,-11
1991,1338,76,1208,68,1,6,11,-5
1991,1350,73,1393,69,1,15,2,13
1991,1371,71,1337,51,1,3,14,-11
1991,1396,80,1345,63,1,10,7,3
1991,1462,89,1304,84,1,14,3,11
1991,1104,89,1293,79,1,4,13,-9
1991,1113,79,1353,76,1,8,9,-1
1991,1116,117,1209,76,1,1,16,-15
1991,1185,76,1280,56,1,12,5,7
1991,1207,70,1435,60,1,8,9,-1
1991,1210,87,1177,70,1,8,9,-1
1991,1277,60,1453,58,1,5,12,-7
1991,1314,101,1318,66,1,1,16,-15
1991,1326,97,1406,86,1,1,16,-15
1991,1336,74,1417,69,1,13,4,9
1991,1385,75,1296,68,1,4,13,-9
1991,1400,73,1389,65,1,5,12,-7
1991,1424,99,1285,65,1,1,16,-15
1991,1428,82,1375,72,1,4,13,-9
1991,1437,50,1343,48,1,9,8,1
1991,1448,71,1256,65,1,5,12,-7
1991,1112,76,1140,61,1,2,10,-8
1991,1163,66,1462,50,1,11,14,-3
1991,1181,85,1234,70,1,2,7,-5
1991,1231,82,1199,60,1,2,7,-5
1991,1242,77,1338,66,1,3,6,-3
1991,1329,73,1301,64,1,3,6,-3
1991,1371,81,1166,69,1,3,11,-8
1991,1396,77,1350,64,1,10,15,-5
1991,1104,96,1448,88,1,4,5,-1
1991,1116,97,1113,90,1,1,8,-7
1991,1185,71,1336,68,1,12,13,-1
1991,1314,84,1437,69,1,1,9,-8
1991,1326,65,1210,61,1,1,8,-7
1991,1385,84,1400,76,1,4,5,-1
1991,1424,62,1207,54,1,1,8,-7
1991,1428,85,1277,84,1,4,5,-1
1991,1116,93,1104,70,1,1,4,-3
1991,1242,83,1231,65,1,3,2,1
1991,1371,81,1112,77,1,3,2,1
1991,1424,83,1428,66,1,1,4,-3
1991,1181,81,1163,67,1,2,11,-9
1991,1314,93,1185,67,1,1,12,-11
1991,1385,91,1326,74,1,4,1,3
1991,1396,72,1329,63,1,10,3,7
1991,1242,93,1116,81,1,3,1,2
1991,1424,77,1371,65,1,1,3,-2
1991,1181,78,1385,61,1,2,4,-2
1991,1314,75,1396,72,1,1,10,-9
1991,1181,79,1424,77,1,2,1,1
1991,1242,79,1314,73,1,3,1,2
1991,1181,72,1242,65,1,2,3,-1
1992,1104,80,1390,75,1,5,12,-7
1992,1116,80,1293,69,1,3,14,-11
1992,1163,86,1304,65,1,9,8,1
1992,1181,82,1144,56,1,1,16,-15
1992,1199,78,1285,68,1,3,14,-11
1992,1207,75,1378,60,1,6,11,-5
1992,1210,65,1222,60,1,7,10,-3
1992,1231,94,1183,55,1,2,15,-13
1992,1234,98,1400,92,1,9,8,1
1992,1261,94,1140,83,1,7,10,-3
1992,1272,80,1337,70,1,6,11,-5
1992,1281,89,1452,78,1,5,12,-7
1992,1314,68,1275,63,1,4,13,-9
1992,1326,83,1290,56,1,1,16,-15
1992,1371,78,1247,76,1,4,13,-9
1992,1425,84,1419,54,1,2,15,-13
1992,1153,85,1174,47,1,4,13,-9
1992,1190,87,1112,80,1,14,3,11
1992,1235,76,1150,74,1,10,7,3
1992,1242,100,1224,67,1,1,16,-15
1992,1246,88,1330,69,1,2,15,-13
1992,1257,81,1448,58,1,8,9,-1
1992,1269,85,1200,58,1,3,14,-11
1992,1276,73,1396,66,1,6,11,-5
1992,1277,61,1283,54,1,5,12,-7
1992,1308,81,1177,73,1,12,5,7
1992,1329,100,1204,73,1,2,15,-13
1992,1393,51,1343,43,1,6,11,-5
1992,1408,61,1385,57,1,10,7,3
1992,1417,73,1352,53,1,1,16,-15
1992,1418,87,1328,83,1,13,4,9
1992,1431,55,1191,50,1,9,8,1
1992,1181,75,1234,62,1,1,9,-8
1992,1199,78,1207,68,1,3,6,-3
1992,1210,79,1425,78,1,7,2,5
1992,1231,89,1261,79,1,2,7,-5
1992,1272,82,1116,80,1,6,3,3
1992,1314,64,1104,55,1,4,5,-1
1992,1326,78,1163,55,1,1,9,-8
1992,1371,88,1281,71,1,4,5,-1
1992,1153,77,1277,65,1,4,5,-1
1992,1246,106,1235,98,1,2,10,-8
1992,1269,77,1393,71,1,3,6,-3
1992,1276,102,1190,90,1,6,14,-8
1992,1308,81,1418,73,1,12,13,-1
1992,1329,87,1408,71,1,2,10,-8
1992,1417,85,1257,69,1,1,8,-7
1992,1431,66,1242,60,1,9,1,8
1992,1181,81,1371,69,1,1,4,-3
1992,1231,85,1199,74,1,2,3,-1
1992,1246,87,1269,77,1,2,3,-1
1992,1417,85,1308,78,1,1,12,-11
1992,1153,69,1431,67,1,4,9,-5
1992,1272,83,1210,79,1,6,7,-1
1992,1276,75,1329,72,1,6,2,4
1992,1326,80,1314,73,1,1,4,-3
1992,1181,104,1246,103,1,1,2,-1
1992,1231,106,1417,79,1,2,1,1
1992,1153,88,1272,57,1,4,6,-2
1992,1276,75,1326,71,1,6,1,5
1992,1181,81,1231,78,1,1,2,-1
1992,1276,76,1153,72,1,6,4,2
1992,1181,71,1276,51,1,1,6,-5
1993,1116,94,1221,64,1,4,13,-9
1993,1140,80,1374,71,1,7,10,-3
1993,1143,66,1261,64,1,6,11,-5
1993,1181,105,1356,70,1,3,14,-11
1993,1199,82,1191,70,1,3,14,-11
1993,1228,75,1253,72,1,6,11,-5
1993,1242,94,1123,72,1,2,15,-13
1993,1314,85,1187,65,1,1,16,-15
1993,1348,74,1345,68,1,8,9,-1
1993,1365,64,1112,61,1,15,2,13
1993,1371,81,1398,59,1,2,15,-13
1993,1385,85,1403,67,1,5,12,-7
1993,1396,75,1281,61,1,7,10,-3
1993,1408,55,1243,53,1,11,6,5
1993,1435,92,1129,72,1,3,14,-11
1993,1443,55,1272,52,1,7,10,-3
1993,1153,93,1164,66,1,2,15,-13
1993,1203,82,1307,68,1,12,5,7
1993,1231,97,1460,54,1,1,16,-15
1993,1234,82,1419,69,1,4,13,-9
1993,1246,96,1351,52,1,1,16,-15
1993,1257,76,1174,70,1,4,13,-9
1993,1269,54,1335,50,1,3,14,-11
1993,1276,84,1157,52,1,1,16,-15
1993,1308,93,1304,79,1,7,10,-3
1993,1329,74,1266,62,1,5,12,-7
1993,1380,93,1210,78,1,13,4,9
1993,1417,81,1235,70,1,9,8,1
1993,1428,86,1338,65,1,8,9,-1
1993,1438,78,1264,66,1,6,11,-5
1993,1448,81,1151,58,1,5,12,-7
1993,1462,73,1309,55,1,9,8,1
1993,1116,80,1385,74,1,4,5,-1
1993,1143,82,1181,77,1,6,3,3
1993,1199,94,1408,63,1,3,11,-8
1993,1242,90,1140,76,1,2,7,-5
1993,1314,112,1348,67,1,1,8,-7
1993,1396,68,1365,57,1,7,15,-8
1993,1435,85,1228,68,1,3,6,-3
1993,1443,72,1371,68,1,7,2,5
1993,1153,92,1308,55,1,2,7,-5
1993,1203,90,1380,80,1,12,13,-1
1993,1231,73,1462,70,1,1,9,-8
1993,1246,83,1428,62,1,1,8,-7
1993,1257,78,1329,63,1,4,5,-1
1993,1276,86,1417,84,1,1,9,-8
1993,1438,71,1269,56,1,6,3,3
1993,1448,84,1234,78,1,5,4,1
1993,1199,81,1443,78,1,3,7,-4
1993,1231,82,1257,69,1,1,4,-3
1993,1242,93,1143,76,1,2,6,-4
1993,1246,103,1448,69,1,1,5,-4
1993,1153,71,1438,54,1,2,6,-4
1993,1276,72,1203,64,1,1,12,-11
1993,1314,80,1116,74,1,1,4,-3
1993,1396,67,1435,59,1,7,3,4
1993,1242,83,1231,77,1,2,1,1
1993,1246,106,1199,81,1,1,3,-2
1993,1276,77,1396,72,1,1,7,-6
1993,1314,75,1153,68,1,1,2,-1
1993,1276,81,1246,78,1,1,1,0
1993,1314,78,1242,68,1,1,2,-1
1993,1314,77,1276,71,1,1,1,0
1994,1104,76,1344,70,1,9,8,1
1994,1163,64,1351,46,1,2,15,-13
1994,1196,64,1241,62,1,3,14,-11
1994,1203,51,1412,46,1,10,7,3
1994,1242,102,1151,73,1,4,13,-9
1994,1268,74,1387,66,1,10,7,3
1994,1269,78,1402,60,1,2,15,-13
1994,1276,78,1337,74,1,3,14,-11
1994,1281,76,1298,53,1,1,16,-15
1994,1335,90,1304,80,1,11,6,5
1994,1345,98,1416,67,1,1,16,-15
1994,1393,92,1218,78,1,4,13,-9
1994,1400,91,1443,77,1,6,11,-5
1994,1448,68,1158,58,1,5,12,-7
1994,1453,61,1143,57,1,12,5,7
1994,1458,80,1153,72,1,9,8,1
1994,1112,81,1259,55,1,2,15,-13
1994,1116,94,1299,79,1,1,16,-15
1994,1130,67,1450,64,1,9,8,1
1994,1181,82,1411,70,1,2,15,-13
1994,1207,84,1228,77,1,9,8,1
1994,1231,84,1325,72,1,5,12,-7
1994,1246,83,1398,70,1,3,14,-11
1994,1257,67,1129,58,1,3,14,-11
1994,1266,81,1418,59,1,6,11,-5
1994,1277,84,1371,73,1,7,10,-3
1994,1278,74,1356,60,1,6,11,-5
1994,1314,71,1251,51,1,1,16,-15
1994,1329,65,1308,55,1,4,13,-9
1994,1396,61,1180,39,1,4,13,-9
1994,1409,112,1417,102,1,12,5,7
1994,1438,57,1307,54,1,7,10,-3
1994,1163,75,1203,63,1,2,10,-8
1994,1196,70,1335,58,1,3,11,-8
1994,1242,69,1448,58,1,4,5,-1
1994,1268,95,1269,87,1,10,2,8
1994,1276,84,1400,79,1,3,6,-3
1994,1281,109,1458,96,1,1,9,-8
1994,1345,83,1104,73,1,1,9,-8
1994,1393,64,1453,59,1,4,12,-8
1994,1112,71,1438,58,1,2,7,-5
1994,1116,85,1207,73,1,1,9,-8
1994,1130,75,1314,72,1,9,1,8
1994,1181,85,1277,74,1,2,7,-5
1994,1231,67,1396,58,1,5,4,1
1994,1257,60,1278,55,1,3,6,-3
1994,1266,75,1246,63,1,6,3,3
1994,1409,82,1329,80,1,12,4,8
1994,1112,82,1257,70,1,2,3,-1
1994,1181,59,1266,49,1,2,6,-4
1994,1281,98,1393,88,1,1,4,-3
1994,1345,83,1242,78,1,1,4,-3
1994,1116,103,1409,84,1,1,12,-11
1994,1130,77,1231,68,1,9,5,4
1994,1196,69,1163,60,1,3,2,1
1994,1276,78,1268,71,1,3,10,-7
1994,1112,92,1281,72,1,2,1,1
1994,1181,69,1345,60,1,2,1,1
1994,1116,76,1276,68,1,1,3,-2
1994,1196,74,1130,66,1,3,9,-6
1994,1116,91,1112,82,1,1,2,-1
1994,1181,70,1196,65,1,2,3,-1
1994,1116,76,1181,72,1,1,2,-1
1995,1104,91,1335,85,1,5,12,-7
1995,1113,81,1123,66,1,5,12,-7
1995,1153,77,1396,71,1,7,10,-3
1995,1163,100,1151,71,1,2,15,-13
1995,1242,82,1159,68,1,1,16,-15
1995,1246,113,1291,67,1,1,16,-15
1995,1264,77,1328,67,1,13,4,9
1995,1268,87,1211,63,1,3,14,-11
1995,1275,71,1112,62,1,12,5,7
1995,1329,73,1180,49,1,4,13,-9
